Time,Pitch,Roll,Yaw,X-Pos,Y-Pos,Z-Pos
69.589,-8.80427725650586,-24.6848492830631,-16.0676587224637,97.738068,-1211.706055,434.959076
69.592,-8.8160850714637,-24.6867199431825,-16.0653608781456,97.715675,-1211.723877,434.946625
69.594,-8.82806843536809,-24.6831495311246,-16.0379617884923,97.691765,-1211.739868,434.923126
69.597,-8.82811098425007,-24.6891491039991,-16.0267681828916,97.668373,-1211.754639,434.916504
69.6,-8.83185002684373,-24.6793919718286,-16.0449504157741,97.615494,-1211.783325,434.880798
69.603,-8.82819506175173,-24.6743545784582,-16.0551783886889,97.578087,-1211.800537,434.871521
69.606,-8.83360121841914,-24.686103676941,-16.0313694809841,97.554718,-1211.811035,434.864868
69.608,-8.82700818243769,-24.689017732407,-16.0144061790421,97.517632,-1211.817139,434.854187
69.611,-8.81446921183202,-24.697653240053,-16.0237273118335,97.495506,-1211.841919,434.849792
69.614,-8.82417092143775,-24.693338047597,-16.0192120302422,97.450951,-1211.857544,434.828491
69.617,-8.81813576591217,-24.6863404740168,-16.00889263218,97.405731,-1211.889038,434.824371
69.619,-8.81035816771318,-24.6900661485429,-16.0085820527506,97.349724,-1211.905884,434.801239
69.622,-8.80977444583082,-24.6991400182509,-15.9991054869447,97.319588,-1211.922974,434.792206
69.625,-8.81275303155975,-24.6950729208923,-15.9992321470735,97.281624,-1211.947388,434.777161
69.628,-8.79693244459552,-24.6992109788247,-16.0166782769337,97.237144,-1211.971924,434.765533
69.631,-8.78915933623125,-24.7080270852465,-16.0115727946157,97.201721,-1211.99292,434.754211
69.633,-8.7649708057808,-24.7100488974505,-16.0150210755029,97.157936,-1212.016724,434.747681
69.636,-8.75318885214706,-24.7058828850025,-16.0208810493356,97.120811,-1212.037354,434.741272
69.639,-8.74492107877129,-24.7188037124515,-16.0236841979732,97.088417,-1212.063965,434.735229
69.642,-8.73893301613839,-24.7138736335844,-16.0147862155536,97.035095,-1212.094604,434.723328
69.644,-8.7280853937005,-24.7231910634732,-16.0281130024215,96.992188,-1212.119385,434.711334
69.647,-8.72114472679184,-24.7212522476414,-16.0242998110718,96.945541,-1212.142822,434.697998
69.65,-8.71203425023517,-24.7371135698302,-16.0305455604066,96.910309,-1212.168579,434.680389
69.653,-8.69017048627204,-24.7379483406748,-16.0486152300244,96.867157,-1212.200073,434.663757
69.656,-8.68617589119992,-24.7464049085865,-16.0359174821082,96.834328,-1212.226562,434.658264
69.658,-8.69566391024816,-24.7525703547701,-16.0312803203815,96.799187,-1212.248291,434.645142
69.661,-8.68991245070228,-24.7419805929929,-16.0707970850157,96.744316,-1212.286499,434.607941
69.664,-8.68780210884401,-24.7637277757944,-16.0536587777217,96.722931,-1212.301147,434.613922
69.667,-8.68518289644682,-24.757122343655,-16.0729865453439,96.670219,-1212.339478,434.592957
69.669,-8.66595869297437,-24.771057055935,-16.0944729335546,96.625122,-1212.369507,434.573364
69.672,-8.65560570297403,-24.7791765112665,-16.093548406086,96.585754,-1212.394775,434.559509
69.675,-8.66646156560652,-24.7851441050859,-16.0870808940991,96.544601,-1212.427002,434.539673
69.678,-8.66262695800637,-24.7885510359768,-16.087979689055,96.514206,-1212.445557,434.541199
69.681,-8.65129976513527,-24.8069535684223,-16.0759598029182,96.481842,-1212.481201,434.539734
69.683,-8.63697904543911,-24.8149758280752,-16.0883352444887,96.447754,-1212.51416,434.530914
69.686,-8.65989031536927,-24.8185993017802,-16.08711811842,96.405502,-1212.540161,434.516235
69.689,-8.65882201375133,-24.8342105415424,-16.0658884058083,96.371872,-1212.564453,434.507111
69.692,-8.64857881751114,-24.8452811580596,-16.0785769873402,96.34166,-1212.594727,434.507446
